7 Days Ago,Year Ago EPS,Up Last 7 Days,Down Last 30 Days,header,EPS Actual,EPS Est,Surprise %,Next Year,Low Estimate,Price/Earnings (avg. for comparison categories),section,Year Ago Sales,Past 5 Years (per annum),30 Days Ago,Current Estimate,Difference,Sales Growth (year/est),This Year,symbol,Avg. Estimate,90 Days Ago,60 Days Ago,No. of Analysts,Down Last 90 Days,Next Qtr.,Up Last 30 Days,PEG Ratio (avg. for comparison categories),High Estimate,Current Qtr.,Next 5 Years (per annum)
,,,,Jun 13,,,,,,,Earnings History,,,,,0.03,,,YELP,,,,,,,,,,,
,,,,Sep 13,,,,,,,Earnings History,,,,,-0.03,,,YELP,,,,,,,,,,,
,,,,Next Qtr. Oct 14,,,,,,,Revenue Est,,,,,,,,JCP,,,,,,,,,3.00B,,
,,,,Current Year Jan 15,,,,,,,Revenue Est,,,,,,,,JCP,,,,,,,,,13.05B,,
,,,,Next Year Jan 16,,,,,,,Revenue Est,,,,,,,,JCP,,,,,,,,,13.70B,,
,,,,Current Qtr. Jul 14,,,,,,,Revenue Est,2.66B,,,,,,,JCP,,,,,,,,,,,
,,,,Next Qtr. Oct 14,,,,,,,Revenue Est,2.78B,,,,,,,JCP,,,,,,,,,,,
,,,,Current Year Jan 15,,,,,,,Revenue Est,11.86B,,,,,,,JCP,,,,,,,,,,,
,,,,Next Year Jan 16,,,,,,,Revenue Est,12.41B,,,,,,,JCP,,,,,,,,,,,
,,,,Current Qtr. Jul 14,,,,,,,Revenue Est,,,,,,4.50%,,JCP,,,,,,,,,,,
,,,,Next Qtr. Oct 14,,,,,,,Revenue Est,,,,,,3.50%,,JCP,,,,,,,,,,,
,,,,Current Year Jan 15,,,,,,,Revenue Est,,,,,,4.60%,,JCP,,,,,,,,,,,
,,,,Next Year Jan 16,,,,,,,Revenue Est,,,,,,4.30%,,JCP,,,,,,,,,,,
,,,,Jul 13,,-1.06,,,,,Earnings History,,,,,,,,JCP,,,,,,,,,,,
,,,,Oct 13,,-1.77,,,,,Earnings History,,,,,,,,JCP,,,,,,,,,,,
,,,,Jan 14,,-0.85,,,,,Earnings History,,,,,,,,JCP,,,,,,,,,,,
,,,,Apr 14,,-1.25,,,,,Earnings History,,,,,,,,JCP,,,,,,,,,,,
,,,,Jul 13,-2.20,,,,,,Earnings History,,,,,,,,JCP,,,,,,,,,,,
,,,,Next Year Jun 15,,,,,1.65,,Earnings Est,,,,,,,,COH,,,,,,,,,,,
